event,parameter,xphm_sample_count,xpnr_sample_count,xphm_median,xpnr_median,xphm_lower_90,xphm_upper_90,xpnr_lower_90,xpnr_upper_90,xphm_width_90,xpnr_width_90,average_width_90,wasserstein_1,normalized_wasserstein_1,js_divergence_bits,standardized_median_displacement,interval_overlap_90,log_width_ratio,xphm_split_NW1_p95,xpnr_split_NW1_p95,pair_noise_threshold_NW1,NW1_above_noise
GW240525_031210,chirp_mass,19070,19199,38.27423212876049,37.73474298771531,33.110153173214975,44.025098491689256,32.82466561040321,43.79525224804363,10.914945318474281,10.970586637640423,10.942765978057352,0.4978641789257606,0.04549710556947737,0.007265906446321326,0.10520527964645066,0.9539898312931794,-0.005084769167224704,0.011229897194632795,0.01158767722227664,0.01158767722227664,True
GW240525_031210,mass_ratio,19070,19199,0.7079642651852445,0.7159521199549128,0.3751076707728193,0.9680165212053237,0.3808145967504091,0.9697837602872968,0.5929088504325044,0.5889691635368878,0.590939006984696,0.00639862126311772,0.010827887798043816,0.001060312364787176,0.03083280897156456,0.9874315359380511,0.006666849609306032,0.009484079354809447,0.00888586668307748,0.009484079354809447,True
GW240525_031210,chi_eff,19070,19199,0.16618443128653876,0.11821176597434546,-0.09271060081792541,0.41753853587347695,-0.1308057840913254,0.36976487314098716,0.5102491366914024,0.5005706572323125,0.5054098969618575,0.04536316533852557,0.08975519793184633,0.01667931595843851,0.2188844900417469,0.8434034184736305,0.019150347673347688,0.008937880163024516,0.010416726846544112,0.010416726846544112,True
GW240525_031210,luminosity_distance,19070,19199,4541.152850552795,4456.177585381532,2357.592571403141,7560.238779714528,2311.173773738329,7458.613447009242,5202.646208311387,5147.439673270913,5175.042940791151,81.37992406915455,0.01572545870638,0.0014816050042229779,0.03736153529903943,0.9717960950756857,0.0106679421284124,0.009149935680188476,0.010107952677310033,0.010107952677310033,True
GW240525_031210,chirp_mass_source,19070,19199,22.141777788054387,21.981142253505876,18.311599072011877,27.345277968989613,18.2279644787818,27.153800400341947,9.033678896977737,8.925835921560147,8.979757409268942,0.15069326914956974,0.016781440999065693,0.0015894471912093764,0.040828387150892785,0.9698253041125305,0.012009708805024276,0.00906474646175109,0.00928563343498886,0.00928563343498886,True
GW240414_054515,chirp_mass,14167,13285,35.004693023168976,34.501187240466486,31.164346545457732,39.55058110001243,30.735992902031413,39.15275915525965,8.386234554554697,8.41676625322824,8.401500403891468,0.5065978437685984,0.060298496627334414,0.010721032287939388,0.1297465767802313,0.906271788355543,-0.0036340809149888534,0.011741508218295294,0.01225072978808913,0.01225072978808913,True
GW240414_054515,mass_ratio,14167,13285,0.6782444922376605,0.6530814407388824,0.3591844329526634,0.9628530103956623,0.3414330116197392,0.9599361691976336,0.6036685774429988,0.6185031575778943,0.6110858675104466,0.01882889386564875,0.030812190015713083,0.004333284516098235,0.09292436415248066,0.9667402681412485,-0.02427696254430517,0.010311305828636975,0.011013875539626808,0.011013875539626808,True
GW240414_054515,chi_eff,14167,13285,0.029907255213019377,-0.007431170396127879,-0.18233998782458516,0.24776353250119917,-0.22724321211698334,0.19533525069656982,0.43010352032578436,0.42257846281355316,0.42634099156966876,0.04365151016880547,0.10238637858417687,0.02209662147462855,0.20334212492620005,0.795094475605259,0.017650784300457276,0.009870946515251037,0.01180258007671917,0.01180258007671917,True
GW240414_054515,luminosity_distance,14167,13285,1525.4837741479232,1501.6581250543902,944.0844968838766,2208.8111306424203,928.0782087586119,2202.7589157735897,1264.7266337585438,1274.6807070149778,1269.7036703867607,20.56728209734947,0.016198489913071237,0.0020103858321417504,0.042987274452020385,0.9827766565400305,-0.007839722347048703,0.009690731390283766,0.011060904911860342,0.011060904911860342,True
GW240414_054515,chirp_mass_source,14167,13285,27.143716926409326,26.83325248983353,24.345354836251964,30.749918568065148,24.09518798154211,30.252573508241476,6.404563731813184,6.157385526699365,6.280974629256274,0.327741805182075,0.05218008741119254,0.007095477924804111,0.109481103483729,0.8876720995967343,0.03935855937176425,0.012145692522066669,0.011934882284587315,0.012145692522066669,True
GW241109_115924,chirp_mass,14582,10761,5.9488362424724555,5.9467178047212395,5.930093628881907,5.993596351620305,5.927139182064183,6.000217804370721,0.06350272273839774,0.0730786223065385,0.06829067252246812,0.00261458291855806,0.03828609123299882,0.01085485130250399,0.07264171946849352,0.868964421250673,-0.14045309672903797,0.010838761158089516,0.012180074821280676,0.012180074821280676,True
GW241109_115924,mass_ratio,14582,10761,0.7083938238349528,0.7081342506333174,0.3884040588402179,0.9692437943804003,0.3639660136154931,0.9685595459286558,0.5808397355401824,0.6045935323131627,0.5927166339266725,0.00535271022632031,0.009030808180393528,0.0031196382969314236,0.0009847307979156982,0.958494604502545,-0.04008150846733054,0.01003703122440355,0.013807454196005436,0.013807454196005436,False
GW241109_115924,chi_eff,14582,10761,0.010114936542235935,0.009594621977043753,-0.04102963375792679,0.16803576057662503,-0.044489993350919424,0.18394116994972204,0.20906539433455182,0.22843116330064145,0.21874827881759662,0.004923278647616937,0.022506593762606088,0.0046668853248323,0.005010367058757937,0.9152227363102727,-0.08858781566882129,0.01198038216210352,0.014398865382659285,0.014398865382659285,True
GW241109_115924,luminosity_distance,14582,10761,602.2416568633232,597.188982119118,314.4894992689301,837.238874552675,311.34912807563586,834.9339211728287,522.7493752837449,523.5847930971929,523.1670841904689,4.770278928383897,0.00911807923804164,0.0020283834706702,0.021983678005982835,0.9896455015340782,-0.0015968473862638035,0.010027835965176691,0.013365286233510895,0.013365286233510895,False
GW241109_115924,chirp_mass_source,14582,10761,5.292571754191709,5.297326609644251,5.093721306481547,5.57739405339665,5.094976970602144,5.579927609199654,0.48367274691510254,0.48495063859750953,0.48431169275630603,0.003905552378513933,0.008064129850523995,0.001869459069260004,0.022306540779735387,0.9922065594328622,-0.0026385743786864007,0.01004489318373113,0.011350160735805304,0.011350160735805304,False
GW241101_220523,chirp_mass,17545,18125,32.76181958173908,32.74075126902758,28.066245245529537,41.41692425358432,28.281771071894603,41.16800042507151,13.350679008054783,12.886229353176908,13.118454180615846,0.10155806730379435,0.007741618479245755,0.001993187457407147,0.0036768510994036057,0.9652115330914883,0.03540799638896341,0.01005583263576706,0.010463516917287006,0.010463516917287006,False
GW241101_220523,mass_ratio,17545,18125,0.4762279954959372,0.48631311058765125,0.27341031587936887,0.9110674520901378,0.2688166275103767,0.9061614889050464,0.637657136210769,0.6373448613946697,0.6375009988027194,0.005786712085608628,0.009077181206737811,0.001863539043336492,0.03676944448609001,0.985208813767893,0.0004898420911179984,0.010187114275965166,0.010665980187860162,0.010665980187860162,False
GW241101_220523,chi_eff,17545,18125,0.14758721422706578,0.12016243432460842,-0.13827484031793796,0.4795407344805507,-0.15976866858438296,0.455688636761359,0.6178155747984886,0.615457305345742,0.6166364400721153,0.02395333929330761,0.03884515694613552,0.004221874909633083,0.1024584599127754,0.9290704535734304,0.0038244128531129706,0.011702452547833081,0.00916120787912121,0.011702452547833081,True
GW241101_220523,luminosity_distance,17545,18125,2178.876522139676,2194.004950964747,1147.5708771359916,3611.215329588395,1176.9616592306782,3579.1222919805205,2463.644452452403,2402.160632749842,2432.9025426011226,21.027099155116286,0.008642803723915423,0.0012475913551630215,0.014299903390365364,0.9750435499565053,0.02527314235975697,0.009559206248773613,0.009658897310016196,0.009658897310016196,False
GW241101_220523,chirp_mass_source,17545,18125,23.610271229132483,23.5795305993532,20.47725175207198,29.431889899203405,20.487489595317932,29.373225413903135,8.954638147131426,8.885735818585204,8.920186982858315,0.059092283171536183,0.006624556557513004,0.001091175348428174,0.007871251492886184,0.9923054033659311,0.007724352782066529,0.010153215120075627,0.010295541827939732,0.010295541827939732,False
GW240922_142106,chirp_mass,16650,15936,10.055035571010844,10.039351010821369,9.994221959365122,10.114290326988904,9.979823912313183,10.100176369174054,0.12006836762378192,0.12035245686087137,0.12021041224232665,0.015066833482049454,0.12533717505000247,0.03146276014540374,0.3027392544646878,0.7879618867242922,-0.0023632675740053047,0.010358266202240668,0.009976478369578035,0.010358266202240668,True
GW240922_142106,mass_ratio,16650,15936,0.6779193035862259,0.6907985106237347,0.3953615864343743,0.9609253902928505,0.4206563369326128,0.9629290231800445,0.5655638038584763,0.5422726862474316,0.553918245052954,0.013976652829715486,0.025232338805484436,0.0032959334970388337,0.05342812470814993,0.9519028372347142,0.0420541304483099,0.009808455318381946,0.01033653801486388,0.01033653801486388,True
GW240922_142106,chi_eff,16650,15936,0.07298700210235708,0.06195052985996659,0.012337029642850862,0.19720549770136117,0.004183902582302824,0.17511464514054376,0.18486846805851032,0.17093074255824092,0.17789960530837562,0.012150483940269121,0.0682996677772678,0.011265847001148731,0.1411599316495629,0.8433129743710255,0.0783861285592722,0.010308895193026446,0.010348892569779972,0.010348892569779972,True
GW240922_142106,luminosity_distance,16650,15936,1230.965155223103,1222.5769326471004,733.0847716762971,1574.9783233338505,725.8642502995642,1582.7222738038133,841.8935516575534,856.8580235042491,849.3757875809013,5.5996753044108845,0.006592694760418429,0.0016692097828055416,0.023033787583540657,0.9825356460041114,-0.017618654976642292,0.009426122412908237,0.010141982544112992,0.010141982544112992,False
GW240922_142106,chirp_mass_source,16650,15936,8.12231862352043,8.118038206223805,7.757292243736463,8.748034470016497,7.74073133566594,8.746028472287136,0.9907422262800347,1.0052971366211967,0.9980196814506157,0.008584525748034618,0.008601559576016637,0.002271414740895884,0.009986179926634387,0.9815677077071198,-0.01458404938287594,0.010107327377151138,0.008425629992240282,0.010107327377151138,False
GW240531_075248,chirp_mass,16444,14295,38.59125126858939,38.37063301957925,32.483528860377966,48.52865464935687,32.484578802792875,47.74656709985647,16.0451257889789,15.261988297063596,15.653557043021248,0.30094461454133214,0.0192253181634203,0.0024307040504537303,0.03303140494348603,0.9511915642036769,0.050039802228073506,0.00960981869821565,0.010312633984691864,0.010312633984691864,True
GW240531_075248,mass_ratio,16444,14295,0.7014999916824578,0.7062151983589259,0.4202257995593884,0.9648772084153197,0.40950802518574564,0.9671661601509355,0.5446514088559313,0.5576581349651899,0.5511547719105606,0.005172520090035317,0.00938487763084213,0.0020793053230632116,0.01947435374484685,0.9766761653892658,-0.023600140031889236,0.010048952701695176,0.009302836513093124,0.010048952701695176,False
GW240531_075248,chi_eff,16444,14295,0.035049146182224655,0.0038975869839768524,-0.23187100452221596,0.2989081489725626,-0.2608257555207325,0.2516292618606677,0.5307791534947786,0.5124550173814002,0.5216170854380894,0.03622507846619599,0.06944764555741444,0.011722295689718007,0.13946940568959737,0.863803786945115,0.035133091741882026,0.010103174879423044,0.010598207499960486,0.010598207499960486,True
GW240531_075248,luminosity_distance,16444,14295,4137.153536039764,4014.2633208199786,1900.9631106661489,6929.346322453678,1940.754885002668,6852.824089204742,5028.383211787529,4912.069204202075,4970.226207994801,90.13364897459093,0.018134717657238106,0.0025809924388491712,0.05646232221591928,0.9768685076919373,0.02340322382521795,0.009535876618847944,0.01071548591602932,0.01071548591602932,True
GW240531_075248,chirp_mass_source,16444,14295,23.38597443479001,23.37025317473094,19.57315244843641,29.033549102050184,19.59007268042006,28.92205444792869,9.460396653613774,9.33198176750863,9.396189210561202,0.04207296904769815,0.004477663029647024,0.001192859791853311,0.0038103753932415157,0.9864260568761574,0.013666911345300861,0.009713656486718576,0.01092780317471395,0.01092780317471395,False
GW240428_225440,chirp_mass,15573,16066,17.20561144018929,17.13491023629973,16.916919024372284,17.526706642709694,16.82943524486599,17.455508116322658,0.6097876183374105,0.6260728714566675,0.617930244897039,0.07259973109031734,0.1174885542338425,0.02777695334187657,0.264179274728171,0.7724238992391619,-0.026356042519656918,0.009814616311532067,0.010540551700320776,0.010540551700320776,True
GW240428_225440,mass_ratio,15573,16066,0.7431719741865405,0.7521226702929588,0.4781935574355402,0.9722564681062175,0.4878269878776501,0.9710329773339281,0.49406291067067726,0.483205989456278,0.4886344500634776,0.006957976806534334,0.014239636205818964,0.0020288627192747467,0.041739262126899296,0.9780252251688732,0.022219816673733496,0.009465308849326686,0.008632520921381712,0.009465308849326686,True
GW240428_225440,chi_eff,15573,16066,0.03211571325585246,0.012486253814075952,-0.046079155663891945,0.1277894418192321,-0.07244255774129933,0.10533152744652446,0.17386859748312405,0.17777408518782378,0.17582134133547392,0.021537443063361982,0.12249618220274926,0.030912932591263195,0.25714669756631636,0.7561762527604584,-0.022213732818768896,0.010886502595486722,0.010495122790670044,0.010886502595486722,True
GW240428_225440,luminosity_distance,15573,16066,840.647605529873,839.4262195546916,556.4176918122424,1041.4205300458248,545.9647836013335,1039.234592764987,485.00283823358234,493.26980916365346,489.1363236986179,1.9242646932845224,0.003934004898131755,0.0014263830240106449,0.005807946402463585,0.9744904654301698,-0.016901561641924273,0.009933917957723417,0.009194970563831648,0.009933917957723417,False
GW240428_225440,chirp_mass_source,15573,16066,14.722177440185627,14.659358242509038,14.245699438263959,15.446088280701682,14.18074825769585,15.411164962060127,1.2003888424377234,1.230416704364277,1.2154027734010002,0.05848487850337003,0.04811975073885569,0.008060340779379345,0.11946447539717128,0.9210690427918257,-0.02470735637536658,0.010136137137153525,0.010462760037756905,0.010462760037756905,True
GW240630_101703,chirp_mass,15167,17455,33.13100507715482,32.25616699987572,29.210887205400812,36.79147597646495,28.065451960686588,35.74224278096593,7.580588771064139,7.676790820279344,7.628689795671741,0.9564862019206228,0.12538014095989333,0.03175978766151105,0.26332042760336555,0.7484915883517105,-0.012610726967499616,0.010108885868998645,0.009503238967878174,0.010108885868998645,True
