analysis,positive_pairs,median_first,median_second,median_difference,wilcoxon_W,p_value
Frozen NW1: arithmetic mean width,18,0.06762667668153438,0.014362031095135444,0.053278336694840424,171.0,3.814697265625e-06
NW1: geometric mean width,18,0.06765806284411008,0.014362275184328602,0.053288188942518334,171.0,3.814697265625e-06
NW1: larger width,18,0.06576210965350811,0.014279118329524946,0.052227810888287686,171.0,3.814697265625e-06
chi_eff NW1 vs log-distance NW1,18,0.06762667668153438,0.014988150050402337,0.054073099564846266,171.0,3.814697265625e-06
Two-sample KS distance,17,0.09471265249171856,0.02411808536975213,0.06794786548770423,170.0,7.62939453125e-06
Split-reference ratio,18,6.568241032679089,1.4106195352601727,5.043670181049585,171.0,3.814697265625e-06
